Issue Type,Summary,Priority,Story Points,Description,Labels,Labels,Labels,Labels,Labels,Labels
Epic,[E00] Pre-Build Gates,Highest,,"Epic. Phase -1, Milestone Gate.",type-epic,phase-neg1,tier-now,ms-Gate,,
Epic,[E01] Pipeline Reliability & Scheduling,Highest,,"Epic. Phase 0, Milestone M0.

Depends on: E00",type-epic,phase-0,tier-now,ms-M0,,
Epic,[E02] Data Integrity & Dedup Hardening,Highest,,"Epic. Phase 0, Milestone M0.

Depends on: E00",type-epic,phase-0,tier-now,ms-M0,,
Epic,"[E03] Config, Secrets & AI Model Consolidation",Highest,,"Epic. Phase 0, Milestone M0.

Depends on: E00",type-epic,phase-0,tier-now,ms-M0,,
Epic,[E04] Platform Hardening,Highest,,"Epic. Phase 0, Milestone M0.

Depends on: E00",type-epic,phase-0,tier-now,ms-M0,,
Epic,[E05] Security Isolation,Highest,,"Epic. Phase 0, Milestone M0.

Depends on: E00",type-epic,phase-0,tier-now,ms-M0,,
Epic,[E06] Testing & CI Foundation,Highest,,"Epic. Phase 0, Milestone M0.",type-epic,phase-0,tier-now,ms-M0,,
Epic,[E07] Observability & SLOs,High,,"Epic. Phase 0, Milestone M0.

Depends on: E01",type-epic,phase-0,tier-now,ms-M0,,
Epic,[E08] Domain Model Migration,Highest,,"Epic. Phase 1, Milestone M1.

Depends on: E01,E02,E06",type-epic,phase-1,tier-next,ms-M1,,
Epic,[E09] Lifecycle State-Machine Engine,Highest,,"Epic. Phase 1, Milestone M1.

Depends on: E08",type-epic,phase-1,tier-next,ms-M1,,
Epic,[E10] Unified Ingestion & Structuring,Highest,,"Epic. Phase 1, Milestone M1.

Depends on: E08",type-epic,phase-1,tier-next,ms-M1,,
Epic,[E11] Canonicalization: Dedup/Merge/Split,Highest,,"Epic. Phase 1, Milestone M1.

Depends on: E08,E00",type-epic,phase-1,tier-next,ms-M1,,
Epic,[E12] AI Enrichment via Model Gateway,High,,"Epic. Phase 1, Milestone M2.

Depends on: E03,E09",type-epic,phase-1,tier-next,ms-M2,,
Epic,[E13] Trust Score Engine,Highest,,"Epic. Phase 1, Milestone M2.

Depends on: E11,E12",type-epic,phase-1,tier-next,ms-M2,,
Epic,[E14] Auto-Generated Surfaces/Projections,High,,"Epic. Phase 1, Milestone M2.

Depends on: E13",type-epic,phase-1,tier-next,ms-M2,,
Epic,[E15] Search-First,High,,"Epic. Phase 2, Milestone M3.

Depends on: E14,E13",type-epic,phase-2,tier-later,ms-M3,,
Epic,[E16] Organizer Identity & Reputation,High,,"Epic. Phase 2, Milestone M4.

Depends on: E08,E13",type-epic,phase-2,tier-later,ms-M4,,
